DATA_PEDIDO,COD_MTE_COMP,QTDE_PEDIDA,_next_month,base_date,classe_abc,classe_xyz,classe_abc_xyz
2020-01-01,K20012,0.0,2020-02-01,2025-11-01,C,Y,CY
2020-02-01,K20012,11.0,2020-03-01,2025-11-01,C,Y,CY
2020-03-01,K20012,1.0,2020-04-01,2025-11-01,C,Y,CY
2020-04-01,K20012,3.0,2020-05-01,2025-11-01,C,Y,CY
2020-05-01,K20012,7.0,2020-06-01,2025-11-01,C,Y,CY
2020-06-01,K20012,2.0,2020-07-01,2025-11-01,C,Y,CY
2020-07-01,K20012,7.0,2020-08-01,2025-11-01,C,Y,CY
2020-08-01,K20012,10.0,2020-09-01,2025-11-01,C,Y,CY
2020-09-01,K20012,3.0,2020-10-01,2025-11-01,C,Y,CY
2020-10-01,K20012,18.0,2020-11-01,2025-11-01,C,Y,CY
2020-11-01,K20012,6.0,2020-12-01,2025-11-01,C,Y,CY
2020-12-01,K20012,22.0,2021-01-01,2025-11-01,C,Y,CY
2021-01-01,K20012,4.0,2021-02-01,2025-11-01,C,Y,CY
2021-02-01,K20012,6.0,2021-03-01,2025-11-01,C,Y,CY
2021-03-01,K20012,6.0,2021-04-01,2025-11-01,C,Y,CY
2021-04-01,K20012,14.0,2021-05-01,2025-11-01,C,Y,CY
2021-05-01,K20012,2.0,2021-06-01,2025-11-01,C,Y,CY
2021-06-01,K20012,3.0,2021-07-01,2025-11-01,C,Y,CY
2021-07-01,K20012,2.0,2021-08-01,2025-11-01,C,Y,CY
2021-08-01,K20012,16.0,2021-09-01,2025-11-01,C,Y,CY
2021-09-01,K20012,0.0,2021-10-01,2025-11-01,C,Y,CY
2021-10-01,K20012,7.0,2021-11-01,2025-11-01,C,Y,CY
2021-11-01,K20012,16.0,2021-12-01,2025-11-01,C,Y,CY
2021-12-01,K20012,6.0,2022-01-01,2025-11-01,C,Y,CY
2022-01-01,K20012,0.0,2022-02-01,2025-11-01,C,Y,CY
2022-02-01,K20012,0.0,2022-03-01,2025-11-01,C,Y,CY
2022-03-01,K20012,8.0,2022-04-01,2025-11-01,C,Y,CY
2022-04-01,K20012,6.0,2022-05-01,2025-11-01,C,Y,CY
2022-05-01,K20012,12.0,2022-06-01,2025-11-01,C,Y,CY
2022-06-01,K20012,5.0,2022-07-01,2025-11-01,C,Y,CY
